sheet,nrows_after_filter,mean_inv,max_inv,min_inv,std_inv,slope,auc,capacity,SOH
157,25,108.93516107324852,112.34652189771138,105.87495328754999,2.46247143346552,-0.26044929650733967,8459.000504178146,4.1529,90.13152183349249
158,25,109.02617398644699,112.22833689475867,106.09573878153523,2.3376383188913032,-0.2463308086188268,7819.96115982348,4.1346,89.73435194027259
159,25,109.11530215972553,112.34652189771138,106.19760821697062,2.3753327592328595,-0.25125518374185657,7611.125728164153,4.2058,91.27962496744509
160,24,108.94664004352155,112.34652189771138,105.97693056341481,2.4124036350202496,-0.2673440730756853,8029.289609723562,4.1869,90.86943311051307
161,24,109.15815947901403,112.22833689475867,106.19760821697062,2.3031782450312503,-0.2570408437761671,7393.7649130432765,4.1038,89.06589113638337
162,25,109.0397826643954,112.22833689475867,106.19760821697062,2.3008650065857097,-0.2463308086188268,7606.162391270374,4.1635,90.36157652574008
163,25,109.163708748033,112.34652189771138,106.31639748790683,2.336154588285465,-0.24630563078618137,7614.733950288889,4.1883,90.89981769250804
164,25,109.06409062635876,112.34652189771138,106.21454699965567,2.3531194938093316,-0.25125518374185657,7607.445930975125,4.207,91.30566889486936
165,25,109.02554681025542,112.22833689475867,106.19760821697062,2.306834487002293,-0.2463308086188268,7605.450598563374,4.2151,91.48146540498307
166,25,109.06423233484311,112.22833689475867,106.31639748790683,2.2511390218168557,-0.2413812556631516,7392.752342555434,4.1964,91.07561420262175
167,24,108.84442418978767,112.22833689475867,105.75612617948316,2.4973019678997668,-0.2718002752758199,8667.767369248839,4.0579,88.0697109124056
168,25,109.06881847999624,112.34652189771138,106.09573878153523,2.3655196102777922,-0.25125518374185657,7821.975199497989,4.1822,90.7674277281014
169,24,108.99571394027548,112.34652189771138,106.19760821697062,2.3533122277886536,-0.2621793221654155,7602.975211089599,4.1821,90.76525740081605
170,25,109.0260307058383,112.34652189771138,105.97693056341481,2.4343249648938468,-0.25620473669753174,8034.009859465779,4.121,89.43918742946438
171,24,109.18320294618862,112.34652189771138,106.09573878153523,2.364330569445671,-0.2621793221654155,7609.32801691523,4.1378,89.80380241340396
172,25,108.98344060776608,112.22833689475867,106.09573878153523,2.3682996274782555,-0.251280361574502,7817.94328016037,4.2015,91.18630089417485
173,24,108.99078956515245,112.22833689475867,106.19760821697062,2.3461083351363894,-0.2570408437761671,7387.036704308146,4.1618,90.32468096188907
174,25,109.08303057418287,112.34652189771138,106.09573878153523,2.377193076218324,-0.25125518374185657,7822.685804207321,4.1289,89.61064328500738
175,25,109.03027952272052,112.22833689475867,106.19760821697062,2.31227765524591,-0.2463308086188268,7605.687234186629,4.175,90.61116416355587
176,25,109.09935700801125,112.34652189771138,106.19760821697062,2.328998855436049,-0.25125518374185657,7609.022923448212,4.166,90.41583470787397
177,24,108.90719557520333,112.34652189771138,105.87495328754999,2.5222084761608294,-0.2717731789641805,8672.563463364855,4.0606,88.12830974911017
178,24,108.9815477007965,112.22833689475867,106.09573878153523,2.3938926775410456,-0.26220559468643684,7817.028224986334,4.1375,89.79729143154789
179,24,108.97172952539954,112.22833689475867,106.21454699965567,2.3356663175409267,-0.2570408437761671,7600.7211763377545,4.147,90.00347252365658
180,24,108.99138248112479,112.34652189771138,106.09573878153523,2.400407045208636,-0.2621793221654155,7600.120634592168,4.1588,90.25957114332842
181,25,109.00297252380464,112.34652189771138,105.97693056341481,2.4442035058903016,-0.26044929650733967,8032.958819799533,4.1739,90.58729056341697
182,25,109.09055373662059,112.34652189771138,106.19760821697062,2.3287412888653916,-0.25125518374185657,7608.582759878678,4.0863,88.6860838614463
183,24,108.99078956515245,112.22833689475867,106.19760821697062,2.3461083351363894,-0.2570408437761671,7602.857026086645,4.1749,90.60899383627051
184,24,109.02685228412793,112.22833689475867,106.31639748790683,2.293164560658694,-0.25187609286589735,7389.95560752833,4.1692,90.48528518100531
185,24,108.97666371286397,112.22833689475867,106.09573878153523,2.3520267641974018,-0.2570408437761671,7600.956551951574,4.1288,89.60847295772203
186,24,108.9865362434723,112.22833689475867,106.09573878153523,2.359752335563377,-0.2570408437761671,7601.430433420774,4.1939,91.0213560204879
187,25,108.88559415130943,112.34652189771138,105.63729907141632,2.522603991666539,-0.26539963892902385,8668.217479587503,4.0636,88.19341956767082
188,24,109.12414354129271,112.34652189771138,105.97693056341481,2.391009107808426,-0.2673440730756853,7820.667214155913,4.0899,88.76421564371908
189,25,109.01639162871851,112.34652189771138,106.09573878153523,2.353197249599873,-0.25620473669753174,7819.4726462050385,4.1552,90.18143936105565
190,23,109.05100863070236,112.22833689475867,105.97693056341481,2.384734018850549,-0.27412403080854764,7385.1161813999015,4.1178,89.36973695633303
191,24,108.9617555679885,112.22833689475867,106.09573878153523,2.4091155749303104,-0.26220559468643684,7816.07820261155,4.1639,90.3702578348815
192,24,108.93717649513862,112.1101296522922,106.09573878153523,2.3196585669147725,-0.25190139845153803,7597.75513951025,4.1329,89.69745637642158
193,25,109.08303057418287,112.34652189771138,106.09573878153523,2.377193076218324,-0.25125518374185657,7822.685804207321,4.1146,89.30028648320167
194,24,109.08307939282976,112.34652189771138,105.75612617948316,2.471539272517119,-0.2717731789641805,8246.447854750546,4.1456,89.97308794166162
195,24,109.1390177562116,112.34652189771138,106.09573878153523,2.353243240812156,-0.2673440730756853,7607.32591706727,4.1233,89.48910495702754
196,24,108.95688195938953,112.22833689475867,106.09573878153523,2.3527494459054736,-0.2570408437761671,7598.582794551827,4.1263,89.55421477558816
197,24,108.84017962997787,112.22833689475867,105.75612617948316,2.5020782494177674,-0.2718002752758199,8667.563630377968,4.0857,88.67306189773419
198,24,109.0944966290922,112.34652189771138,105.97693056341481,2.3899689108852273,-0.2673440730756853,7819.244162370292,4.1051,89.09410539109298
199,24,108.99637118183087,112.34652189771138,106.09573878153523,2.389436736475794,-0.2621793221654155,7817.502777802095,4.1085,89.16789651879505
200,23,109.07669728416461,112.34652189771138,105.97693056341481,2.4342086586347285,-0.27949607639730734,7817.3789627061005,4.0738,88.41479295077698
201,25,108.99760276256735,112.34652189771138,105.97693056341481,2.4060678143520002,-0.25620473669753174,8032.588462302233,4.1354,89.75171455855543
202,24,108.94658384331024,112.34652189771138,105.97693056341481,2.4509900127954145,-0.2673440730756853,8029.286912113421,4.1176,89.36539630176232
203,25,109.03078541581714,112.34652189771138,105.97693056341481,2.422167830862543,-0.25620473669753174,8034.247594964721,4.1302,89.638857539717
204,24,108.93706728921858,112.22833689475867,106.09573878153523,2.397707367194857,-0.26220559468643684,7814.893165230593,4.1784,90.68495529125794
205,25,109.02109334195806,112.34652189771138,106.09573878153523,2.3849873736569025,-0.25620473669753174,7819.707731867017,4.0422,87.72896952860492
